,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Golden State,Brooklyn,125,Golden State,99,110.5,110.5,.424,.538,14.2,15.9,22.8,27.7,.152,.283,89.6,113.1,2020-12-22
0,LA Clippers,LA Clippers,116,LA Lakers,109,103.5,103.5,.548,.525,13.6,16.7,22.9,21.6,.151,.296,112.1,105.3,2020-12-22
0,Milwaukee,Boston,122,Milwaukee,121,99.9,99.9,.589,.564,14.0,5.4,28.9,19.6,.167,.079,121.1,122.1,2020-12-23
0,Atlanta,Atlanta,124,Chicago,104,103.9,103.9,.625,.460,18.5,13.1,21.6,17.4,.300,.276,119.4,100.1,2020-12-23
0,Charlotte,Cleveland,121,Charlotte,114,101.5,101.5,.589,.609,13.4,15.8,16.7,29.4,.089,.172,112.3,119.2,2020-12-23
0,Sacramento,Sacramento,124,Denver,122,99.1,99.1,.490,.520,10.8,12.1,33.3,21.7,.235,.204,113.3,111.5,2020-12-23
0,New York,Indiana,121,New York,107,106.0,106.0,.529,.532,14.4,10.9,11.1,22.2,.200,.223,101.0,114.2,2020-12-23
0,San Antonio,San Antonio,131,Memphis,119,107.7,107.7,.558,.568,8.5,9.7,17.8,11.1,.263,.116,121.6,110.5,2020-12-23
0,Detroit,Minnesota,111,Detroit,101,98.5,98.5,.527,.494,11.1,9.9,16.3,24.5,.032,.273,102.6,112.7,2020-12-23
0,Miami,Orlando,113,Miami,107,104.9,104.9,.548,.534,19.4,14.4,18.9,23.4,.193,.216,102.0,107.7,2020-12-23
0,Washington,Philadelphia,113,Washington,107,105.7,105.7,.535,.517,16.6,13.8,11.9,22.2,.188,.264,101.2,106.9,2020-12-23
0,Dallas,Phoenix,106,Dallas,102,100.4,100.4,.476,.551,10.2,16.5,12.5,15.4,.247,.241,101.5,105.5,2020-12-23
0,Utah,Utah,120,Portland,100,98.3,98.3,.559,.467,9.7,5.7,26.1,11.3,.160,.152,122.1,101.8,2020-12-23
0,New Orleans,New Orleans,113,Toronto,99,104.0,104.0,.644,.506,21.3,17.5,22.2,15.9,.125,.101,108.6,95.2,2020-12-23
0,Brooklyn,Brooklyn,123,Boston,95,95.2,95.2,.638,.418,14.3,12.4,25.0,37.0,.342,.133,129.2,99.8,2020-12-25
0,LA Clippers,LA Clippers,121,Denver,108,92.8,92.8,.682,.525,17.6,12.1,29.0,25.6,.270,.284,130.3,116.3,2020-12-25
0,Dallas,LA Lakers,138,Dallas,115,98.9,98.9,.572,.665,8.7,13.6,7.7,41.5,.241,.187,116.3,139.5,2020-12-25
0,New Orleans,Miami,111,New Orleans,98,96.8,96.8,.462,.613,17.0,16.6,26.2,11.8,.333,.253,101.3,114.7,2020-12-25
0,Golden State,Milwaukee,138,Golden State,99,107.5,107.5,.394,.667,9.1,14.4,16.9,25.0,.212,.200,92.1,128.4,2020-12-25
0,Indiana,Indiana,125,Chicago,106,106.0,106.0,.608,.462,13.6,16.4,24.3,24.5,.129,.242,117.9,100.0,2020-12-26
0,Oklahoma City,Oklahoma City,109,Charlotte,107,104.1,104.1,.511,.468,14.0,10.8,20.9,22.4,.216,.215,104.7,102.8,2020-12-26
0,Cleveland,Cleveland,128,Detroit,119,100.6,100.6,.551,.490,13.8,16.4,13.0,18.5,.192,.235,105.2,97.8,2020-12-26
0,Atlanta,Atlanta,122,Memphis,112,104.4,104.4,.500,.468,12.4,8.6,26.0,18.0,.371,.269,116.8,107.3,2020-12-26
0,Philadelphia,Philadelphia,109,New York,89,93.9,93.9,.528,.434,10.9,14.7,28.6,27.1,.182,.205,116.0,94.8,2020-12-26
0,Houston,Portland,128,Houston,126,97.2,97.2,.580,.554,13.7,10.4,22.7,25.6,.287,.147,117.4,119.2,2020-12-26
0,Phoenix,Sacramento,106,Phoenix,103,101.3,101.3,.474,.483,9.6,15.2,19.6,33.3,.102,.267,101.6,104.6,2020-12-26
0,Toronto,San Antonio,119,Toronto,114,104.1,104.1,.536,.540,9.7,13.0,20.4,28.0,.115,.110,109.5,114.3,2020-12-26
0,Minnesota,Minnesota,116,Utah,111,102.3,102.3,.510,.436,7.6,14.0,24.0,40.4,.129,.309,113.4,108.5,2020-12-26
0,Orlando,Orlando,130,Washington,120,110.3,110.3,.563,.553,10.8,11.5,23.4,14.0,.242,.158,117.8,108.7,2020-12-26
0,Golden State,Golden State,129,Chicago,128,115.2,115.2,.490,.610,9.3,19.4,17.5,18.4,.260,.267,111.9,111.1,2020-12-27
0,Brooklyn,Charlotte,106,Brooklyn,104,102.6,102.6,.530,.500,17.0,10.4,13.3,24.5,.207,.104,101.4,103.3,2020-12-27
0,Philadelphia,Cleveland,118,Philadelphia,94,100.4,100.4,.494,.577,19.1,14.0,19.0,26.2,.203,.143,93.6,117.5,2020-12-27
0,Boston,Indiana,108,Boston,107,100.3,100.3,.563,.551,16.7,14.5,17.1,19.0,.228,.125,106.6,107.6,2020-12-27
0,Dallas,Dallas,124,LA Clippers,73,90.9,90.9,.575,.368,5.7,12.4,26.2,10.4,.276,.224,136.3,80.3,2020-12-27
0,Minnesota,LA Lakers,127,Minnesota,91,106.7,106.7,.398,.628,13.5,14.8,29.3,13.9,.087,.156,85.3,119.0,2020-12-27
0,San Antonio,New Orleans,98,San Antonio,95,100.9,100.9,.489,.410,14.0,7.0,8.5,23.2,.090,.223,94.2,97.2,2020-12-27
0,Milwaukee,New York,130,Milwaukee,110,100.5,100.5,.468,.635,9.3,13.4,30.9,22.9,.221,.259,109.5,129.4,2020-12-27
0,Phoenix,Phoenix,116,Sacramento,100,97.9,97.9,.564,.539,8.3,14.7,18.2,7.7,.106,.237,118.5,102.2,2020-12-27
0,Orlando,Orlando,120,Washington,113,99.0,99.0,.488,.526,9.0,11.2,24.4,27.7,.435,.113,121.2,114.1,2020-12-27
0,Detroit,Atlanta,128,Detroit,120,97.8,97.8,.505,.610,6.9,11.9,31.5,20.5,.214,.341,122.7,130.8,2020-12-28
0,Memphis,Memphis,116,Brooklyn,111,99.1,99.1,.480,.480,14.6,13.7,30.2,24.5,.224,.150,106.0,101.5,2020-12-28
0,Houston,Denver,124,Houston,111,103.8,103.8,.547,.609,13.5,12.2,10.9,25.0,.198,.207,107.0,119.5,2020-12-28
